Id;Date;Status
1;2025-01-01;Pending
2;2025-01-02;Completed
3;2025-01-03;Cancelled
4;2025-01-04;Pending
5;2025-01-05;Completed
6;2025-01-06;Pending
7;2025-01-07;Completed
8;2025-01-08;Cancelled
9;2025-01-09;Completed
10;2025-01-10;Pending
11;2025-01-11;Completed
12;2025-01-12;Pending
13;2025-01-13;Completed
14;2025-01-14;Cancelled
15;2025-01-15;Pending
16;2025-01-16;Completed
17;2025-01-17;Pending
18;2025-01-18;Completed
19;2025-01-19;Cancelled
20;2025-01-20;Pending
21;2025-01-21;Completed
22;2025-01-22;Completed
23;2025-01-23;Cancelled
24;2025-01-24;Pending
25;2025-01-25;Completed
26;2025-01-26;Pending
27;2025-01-27;Completed
28;2025-01-28;Cancelled
29;2025-01-29;Completed
30;2025-01-30;Pending
31;2025-01-31;Completed
32;2025-02-01;Pending
33;2025-02-02;Completed
34;2025-02-03;Cancelled
35;2025-02-04;Pending
36;2025-02-05;Completed
37;2025-02-06;Pending
38;2025-02-07;Completed
39;2025-02-08;Cancelled
40;2025-02-09;Pending
41;2025-02-10;Completed
42;2025-02-11;Pending
43;2025-02-12;Completed
44;2025-02-13;Cancelled
45;2025-02-14;Pending
46;2025-02-15;Completed
47;2025-02-16;Pending
48;2025-02-17;Completed
49;2025-02-18;Cancelled
50;2025-02-19;Pending
