Product;Price;Quantity
Laptop;899.99;12
Mouse;19.99;85
Keyboard;39.99;60
Monitor;149.99;30
USB Cable;9.99;120
Desk Lamp;24.99;50
Webcam;59.99;40
Headphones;79.99;55
Smartphone;699.99;20
Tablet;329.99;25
Charger;14.99;100
Backpack;49.99;32
Notebook;2.99;200
Pen Set;5.49;140
Office Chair;129.99;18
HDMI Cable;12.99;75
Speakers;89.99;22
Power Bank;29.99;45
Router;99.99;28
SSD 1TB;119.99;35
Hard Drive 2TB;89.99;40
Smartwatch;199.99;15
Bluetooth Adapter;14.99;80
LED Strip;22.99;50
Projector;299.99;10
Camera;449.99;8
Drone;599.99;6
TV 42";329.99;12
Mouse Pad;7.99;150
Printer;149.99;14
Scanner;109.99;10
Flash Drive 64GB;12.49;90
Extension Cord;8.99;70
Calculator;11.99;60
Whiteboard;39.99;18
Stapler;6.49;85
Paper Shredder;79.99;10
Water Bottle;14.99;55
Phone Case;9.99;100
Fitness Band;49.99;25
Electric Kettle;29.99;40
Coffee Maker;69.99;22
Fan;24.99;35
Heater;59.99;20
Air Purifier;129.99;14
Toaster;19.99;30
Microwave;89.99;16
Vacuum Cleaner;149.99;10
Blender;39.99;25
